Date,,Berri1,Boyer,Brébeuf,CSC (Côte Sainte-Catherine),Maisonneuve_1,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,Parc U-Zelt Test,PierDup,Pont_Jacques_Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent U-Zelt Test,Saint-Urbain,Totem_Laurier,University,Viger
06/03/2015,00:00,192,0,6,2,,283,74,7,11,,0,,107,277,95,39,,56,308,148,48
07/03/2015,00:00,98,0,6,7,,140,29,5,8,,0,,101,184,33,14,,58,329,52,10
08/03/2015,00:00,83,0,1,3,,139,26,5,4,,0,,71,157,21,8,,64,161,47,5
09/03/2015,00:00,350,0,12,6,,475,74,12,18,,0,,220,442,143,62,,175,299,281,57
10/03/2015,00:00,516,0,15,61,,757,149,23,36,,0,,294,541,180,78,,309,469,433,68
11/03/2015,00:00,692,0,26,214,,888,230,22,69,,0,,489,718,237,102,,384,574,505,93
12/03/2015,00:00,481,0,31,219,,762,123,19,35,,2,,326,618,183,63,,330,485,449,66
13/03/2015,00:00,401,0,35,199,,610,156,27,44,,1,,328,535,168,63,,315,480,392,56
14/03/2015,00:00,156,0,17,56,,249,70,12,18,,0,,190,279,42,12,,124,276,151,14
15/03/2015,00:00,100,0,17,0,,95,17,1,0,,0,,66,100,26,6,,19,64,34,5
16/03/2015,00:00,327,0,27,1,,483,84,7,1,,0,,217,354,139,46,,77,288,285,23
17/03/2015,00:00,360,0,10,79,,516,93,9,1,,0,,227,409,144,53,,182,336,309,32
18/03/2015,00:00,377,0,5,103,,532,101,14,0,,0,,241,463,134,57,,136,286,342,46
19/03/2015,00:00,435,0,1,0,,608,115,19,1,,0,,236,465,163,68,,224,385,367,38
20/03/2015,00:00,523,0,1,0,,686,156,27,12,,0,,385,521,159,71,,279,387,381,47
21/03/2015,00:00,202,0,0,0,,204,51,5,6,,0,,140,247,48,17,,119,199,88,16
22/03/2015,00:00,110,0,1,0,,107,24,1,2,,0,,87,180,35,7,,70,150,21,13
23/03/2015,00:00,342,0,0,0,,420,86,18,5,,0,,199,387,160,59,,171,342,263,48
24/03/2015,00:00,536,0,4,0,,731,141,45,0,,0,,487,581,201,74,,281,460,409,50
25/03/2015,00:00,658,0,1,0,,906,230,37,0,,0,,470,772,265,70,,374,571,579,72
26/03/2015,00:00,530,0,10,0,,841,197,36,0,,0,,364,646,209,18,,372,484,561,82
27/03/2015,00:00,502,0,9,0,,643,147,42,0,,0,,340,613,182,14,,284,502,363,46
28/03/2015,00:00,313,0,8,54,,384,78,19,0,,3,,354,503,109,2,,211,385,184,22
29/03/2015,00:00,375,0,13,0,,484,123,35,0,,3,,421,570,127,3,,256,419,213,22
30/03/2015,00:00,439,0,21,156,,637,141,47,0,,1,,304,531,187,25,,251,512,410,58
31/03/2015,00:00,729,0,20,449,,1074,242,101,0,,9,,593,1018,306,3,,412,698,664,91
01/04/2015,00:00,989,0,281,594,,1380,272,148,446,,16,,763,1197,343,33,,568,853,834,100
02/04/2015,00:00,870,0,397,601,,1429,337,143,825,,38,,807,1222,396,0,,707,879,839,162
03/04/2015,00:00,993,905,925,520,,1323,344,199,722,,226,,1289,1773,443,0,,662,1002,597,66
04/04/2015,00:00,189,156,60,55,,338,78,29,136,,5,,323,455,65,0,,140,304,147,18
05/04/2015,00:00,228,218,65,114,,379,106,43,234,,19,,365,500,114,0,,238,381,174,24
06/04/2015,00:00,398,282,279,235,,653,175,84,404,,20,,468,729,192,0,,301,509,377,47
07/04/2015,00:00,1294,759,841,873,,1904,400,288,1075,,67,,1001,1443,505,0,,778,1116,1174,136
08/04/2015,00:00,1430,709,985,883,,1883,443,373,1132,,29,,772,1476,580,0,,801,1203,1173,135
09/04/2015,00:00,1498,831,1025,882,,1994,486,336,1172,,43,,917,1664,526,0,,871,1057,1339,165
10/04/2015,00:00,795,446,610,382,,1133,255,165,715,,14,,812,979,271,0,,526,773,716,90
11/04/2015,00:00,779,831,943,467,,1055,316,217,636,,121,,637,1355,298,0,,569,1011,567,70
12/04/2015,00:00,1699,2083,2141,853,,1612,704,667,1078,,589,,2264,2500,777,0,,844,1630,806,75
13/04/2015,00:00,2990,2394,3047,1768,,3636,1139,1182,2332,,439,,2233,3328,1522,0,,1521,2303,2389,327
14/04/2015,00:00,2890,2214,2880,1694,,3561,1049,1028,2199,,306,,2025,3051,1274,0,,1584,2156,2277,292
15/04/2015,00:00,3449,2412,3305,1720,,3986,1118,1283,2500,,483,,2330,3291,1551,0,,1627,2615,2588,297
16/04/2015,00:00,3639,2656,3526,1798,,4300,1189,1269,2514,,496,,2441,3564,1599,0,,1762,2646,2721,345
17/04/2015,00:00,3320,2595,3196,1580,,4153,1192,1091,2327,,436,,2485,3540,1495,0,,1745,2909,2630,316
18/04/2015,00:00,1225,1429,1471,628,,1618,492,384,813,,269,,1372,1853,411,0,,864,1548,730,76
19/04/2015,00:00,2147,2663,2689,1019,,2314,873,891,1302,,977,,2659,3252,1036,0,,1205,2043,1093,101
20/04/2015,00:00,1419,894,1318,711,,1800,495,524,1243,,83,,950,1510,686,0,,808,1287,1328,200
21/04/2015,00:00,1446,946,1370,754,,1898,494,409,1201,,156,0,1187,1609,516,0,,849,1442,1248,137
22/04/2015,00:00,2119,1292,1897,713,,2280,708,734,1595,,152,0,1364,2086,896,0,,1184,1829,1703,237
23/04/2015,00:00,1670,1101,1604,555,,2112,567,513,1384,,136,435,1183,1845,673,0,,996,1550,1404,151
24/04/2015,00:00,1706,1220,1689,794,,2183,615,532,1419,,114,670,1276,1917,678,0,,1052,1800,1473,175
25/04/2015,00:00,1368,1451,1532,625,,1751,515,424,851,,289,734,1539,1962,501,0,,893,1809,856,72
26/04/2015,00:00,1553,1888,2043,821,,1846,711,507,1040,,523,1014,1840,2241,550,0,,998,1874,920,76
27/04/2015,00:00,2317,1550,2196,1125,,2911,825,749,1710,,244,882,1591,2357,1005,0,,1365,1970,1889,213
28/04/2015,00:00,4359,3320,4443,2074,,4881,1437,1791,2920,,860,2453,3165,4244,2194,0,,2419,3269,3193,417
29/04/2015,00:00,4237,3376,4270,1978,,4909,1499,1735,2944,,705,2182,3114,4424,2236,0,,2392,3560,3074,408
30/04/2015,00:00,4433,3408,4343,2095,,5196,1427,1690,2926,,706,2082,3131,4337,2283,0,,2487,3699,3175,390
01/05/2015,00:00,4762,3902,4883,1947,,5481,1503,1744,3028,,917,2186,3634,4643,2334,0,,2536,3964,3249,465
02/05/2015,00:00,4244,4698,4789,1682,,4499,1609,1725,1919,,1529,2358,3898,4993,2027,0,,1932,4017,1746,218
03/05/2015,00:00,4474,4936,5247,1741,,4268,1470,1877,2234,,1627,2609,4924,5666,2076,0,,2063,3877,1870,250
04/05/2015,00:00,5402,4104,5244,2558,,5934,1700,2214,3383,,1060,2349,3192,4593,2845,0,,2775,3968,3764,582
05/05/2015,00:00,6394,4779,6079,2954,,7194,1909,2519,3950,,2213,3125,4097,5124,3289,0,,3302,4342,4457,630
06/05/2015,00:00,6496,5067,6182,2337,,7135,1949,2640,3966,,2293,3102,3906,5936,3394,0,,3335,4301,4396,590
07/05/2015,00:00,6952,5323,6449,3039,,7407,2009,2725,3977,,2445,3156,4173,5541,3564,0,,3451,4728,4474,739
08/05/2015,00:00,6837,5536,6680,2682,,7011,1896,2714,3803,,2633,2899,4277,5891,3432,0,,3410,5151,4089,653
09/05/2015,00:00,2896,3316,3489,1231,,3626,1038,1049,1595,,1753,1657,2914,3785,1290,0,,1673,3018,1615,242
10/05/2015,00:00,2060,2250,2543,965,,2345,788,801,1124,,1067,1171,2146,2746,959,0,,1141,2225,1107,149
11/05/2015,00:00,1490,1070,1424,721,,1872,472,468,1098,,224,529,1327,1500,687,0,,946,1512,1214,125
12/05/2015,00:00,3044,1987,2782,1329,,3935,1011,975,2215,,694,1137,2160,2735,1425,0,,1805,2474,2504,268
13/05/2015,00:00,5747,4293,5328,2416,,6541,1635,2313,3677,,1794,2734,3982,4991,3007,0,,3066,4043,4136,549
14/05/2015,00:00,6505,4732,5968,2650,,6708,1797,2429,3885,,2212,3010,4114,5671,3185,0,,3386,4439,4307,651
15/05/2015,00:00,5533,4066,5188,2127,,6100,1569,2109,3328,,2128,2452,3830,5035,2758,68,,2983,3869,3787,605
16/05/2015,00:00,2433,2640,2616,906,,3199,803,859,1448,,1085,1127,2433,3086,1116,87,,1445,2285,1349,146
17/05/2015,00:00,4634,5099,5404,1594,,4437,1436,2080,2409,,4500,3545,4834,5904,2633,113,,1949,3253,2002,305
18/05/2015,00:00,4155,4351,4682,1490,,3701,1366,1950,1860,,3761,3064,3510,5148,2306,103,,1828,2885,1708,232
19/05/2015,00:00,5203,3422,4645,2015,,5720,1525,1797,3166,,1257,1922,3352,4455,2309,164,,2593,3388,3567,561
20/05/2015,00:00,5698,3840,5240,2418,,5947,1636,2058,3404,,1398,2212,3646,4814,2772,145,,2951,3835,3858,426
21/05/2015,00:00,6031,4271,5598,2423,,6706,1713,2149,3565,,1875,2499,3891,5131,2860,152,,3082,3687,4175,662
22/05/2015,00:00,4478,3118,4121,1697,,5095,1251,1551,2825,,1110,1639,2973,3854,2144,101,,2494,2974,3321,549
23/05/2015,00:00,3285,3171,3484,1129,,3433,947,1107,1549,,1554,1869,3385,3841,1333,98,,1739,2555,1540,267
24/05/2015,00:00,3891,4183,4422,1300,,3971,1321,1487,2063,,2761,2665,4300,4884,1969,78,,1690,2887,1889,309
25/05/2015,00:00,2891,1878,2687,1214,,3096,850,1084,1908,,664,1157,1911,2693,1474,83,,1547,2038,2250,327
26/05/2015,00:00,6492,4555,6124,2555,,6955,1916,2544,3914,,2483,2970,4215,5553,3262,173,,3052,3823,4601,680
27/05/2015,00:00,5964,4132,5809,2301,,6617,1776,2269,3644,,1512,2390,3754,5005,2959,195,,2989,3567,4461,660
28/05/2015,00:00,4657,3156,4376,1858,,5368,1485,1862,2991,,1204,1838,3095,4064,2498,142,,2519,2922,3707,578
29/05/2015,00:00,7093,6153,7322,2719,,7772,2174,2872,4867,,3059,3339,7197,7695,3782,332,,4342,5166,5017,717
30/05/2015,00:00,3304,3716,3783,1250,,3608,1082,1163,1899,,1162,1729,3563,4604,1550,83,,1733,3046,1624,200
31/05/2015,00:00,2430,3524,3329,1720,,3324,945,790,3034,,785,1478,7921,5636,1153,71,,2579,3126,2207,187
01/06/2015,00:00,3319,2178,3011,1304,,3652,939,1067,2074,,338,1075,2311,2794,1508,85,,1778,2465,2704,326
02/06/2015,00:00,3158,2037,2814,1266,,3666,1003,1074,1982,,327,1240,2240,2800,1551,90,,1644,2213,2551,229
03/06/2015,00:00,6444,4736,5983,2616,,6951,1919,2609,3882,,1244,3194,4443,5530,3477,189,,3078,3992,4532,659
04/06/2015,00:00,7242,5461,6843,2863,,7905,2183,3014,4272,,1487,3595,4829,6210,4118,183,,3193,4092,5039,768
05/06/2015,00:00,4074,2763,3660,1490,,4590,1154,1433,2618,,559,1750,2849,3808,1947,151,,1695,2712,2922,431
06/06/2015,00:00,4310,4527,4770,1561,,4326,1334,1841,2125,,1538,2658,4462,5061,2342,109,,1868,3187,2178,334
07/06/2015,00:00,3592,4261,4262,1542,,3804,1241,1682,1982,,1629,3237,4059,4851,2009,72,,1596,2720,1762,294
08/06/2015,00:00,1705,1271,1737,853,,2253,619,625,1238,,168,710,1523,1936,940,75,,1021,1411,1456,176
09/06/2015,00:00,3388,2180,3065,1537,,3785,1035,1281,2206,,515,1382,2346,3093,1722,101,,1754,2313,2546,350
10/06/2015,00:00,6341,4437,5744,2684,,6467,1816,2742,3750,,2338,2918,4138,5317,3482,192,,3077,3593,4197,673
11/06/2015,00:00,6136,4232,5644,2261,,6462,1716,2420,3608,,1802,2540,4009,4825,3195,171,,2908,3665,4136,649
12/06/2015,00:00,3600,2547,3407,1329,,3965,1008,1474,2410,,923,1505,2539,3365,1894,133,,1687,2543,2693,430
13/06/2015,00:00,5493,4943,5433,1577,,4630,1604,2176,2157,,3327,2818,4891,5588,2723,184,,2322,3213,2040,522
14/06/2015,00:00,5253,5064,5531,1713,,4535,1579,2360,2540,,3878,3195,5053,5951,2848,120,,2007,3174,2210,350
15/06/2015,00:00,4427,3165,4169,1884,,5124,1380,1747,2786,,1493,1950,3118,4321,2322,107,,2091,2623,3254,486
16/06/2015,00:00,3120,1969,2757,1179,,3516,985,1032,1884,,709,1289,1998,2688,1473,122,,1341,1943,2217,291
17/06/2015,00:00,7387,5303,7003,2941,,7669,2133,2994,4131,,3317,3755,4893,6221,3805,157,,2873,3912,4698,729
18/06/2015,00:00,6520,4688,6113,2473,,6766,1965,2618,3720,,2324,2778,4197,5348,3295,175,,2633,2269,4246,689
19/06/2015,00:00,6273,4715,5943,2251,,6755,1844,2621,3552,,2248,2691,4501,5163,3417,195,,2618,3605,4026,670
20/06/2015,00:00,5523,5066,5504,1590,,4846,1751,2220,2264,,3938,2998,4400,5634,2669,193,,1982,3168,2219,338
21/06/2015,00:00,2157,2369,2586,938,,2853,876,918,1271,,1090,1322,2673,3140,1129,63,,1001,1883,1246,158
22/06/2015,00:00,5346,4204,5538,2353,,6040,1868,2350,3381,,2092,2839,3939,5167,3143,163,,2126,3311,3954,632
23/06/2015,00:00,4062,3171,4193,1579,,4643,1216,1520,2439,,966,1673,2781,4142,1968,136,,1746,2702,2902,390
24/06/2015,00:00,4818,5447,5085,1759,,4076,1688,2293,2102,,4787,3704,4016,5687,2742,138,,1566,3128,1800,339
25/06/2015,00:00,5953,4986,6312,2494,,7027,1911,2573,3698,,2340,3004,4199,5321,3396,217,,2599,3314,4362,773
26/06/2015,00:00,6768,4938,6539,2140,,6916,1882,2865,3450,,2558,3056,4213,5758,3737,153,,3063,3648,3860,629
27/06/2015,00:00,5175,4399,5065,1347,,4614,1388,2181,2234,,3908,2859,3810,5035,2804,124,,1863,3145,1874,325
28/06/2015,00:00,732,724,836,323,,967,255,277,476,,86,308,792,1132,307,32,,406,855,385,40
29/06/2015,00:00,4305,3201,4406,1846,,5298,1446,1700,2786,,1409,1962,3041,4162,2399,266,,2179,2969,3287,425
30/06/2015,00:00,5449,4144,5376,2038,,6091,1730,2453,3178,,2299,2631,3562,4796,3005,275,,2502,3630,3846,656
01/07/2015,00:00,1459,1360,1724,609,,1617,476,516,768,,462,783,1300,1887,735,111,,864,1410,784,147
02/07/2015,00:00,5790,4824,6187,2370,,6973,1876,2558,3611,,2282,2939,4030,5956,3365,457,,2922,4105,4102,694
03/07/2015,00:00,6806,5188,6570,2209,,7021,1984,2966,3391,,3026,3110,4183,6389,3862,444,,2999,4276,3737,690
04/07/2015,00:00,5559,4558,5370,1402,,3115,1362,2217,2130,,4233,3861,3609,5282,3168,427,,2131,3091,1842,386
05/07/2015,00:00,5144,4434,5091,1364,,4370,1505,2195,2117,,4126,3801,4177,5191,2616,278,,2016,3273,1772,369
06/07/2015,00:00,6049,4914,6493,2347,,6768,2151,2870,3647,,3036,3554,3707,6058,3569,461,,2581,4159,4243,710
07/07/2015,00:00,4590,3484,4726,1787,,5383,1489,1896,2954,,1529,2162,2773,4495,2549,544,,2240,3438,3502,603
08/07/2015,00:00,6586,5329,6724,2575,,7085,2306,3035,3827,,2936,3707,4324,6348,3844,643,,2920,4277,4494,730
09/07/2015,00:00,6339,4947,6263,2393,,7233,2181,2844,3714,,2734,3221,3780,5478,3616,697,,2853,4359,4297,701
10/07/2015,00:00,6371,4966,6341,2007,,6699,1964,2822,3289,,3033,3346,4163,5942,3670,545,,2693,4214,3884,656
11/07/2015,00:00,4801,4363,4965,1288,,4473,1358,1990,1894,,3607,3532,3337,5179,2683,335,,1968,3299,1802,325
12/07/2015,00:00,4043,3908,4278,1257,,3805,1227,1744,1787,,3422,3441,3450,4704,2087,222,,1674,3031,1694,273
13/07/2015,00:00,5388,4282,5728,2145,,6192,1931,2465,3156,,2315,3016,3202,4785,3011,468,,2274,3954,3769,686
14/07/2015,00:00,5361,4107,5597,2083,,6429,1880,2370,3185,,2092,2690,3455,4617,2785,558,,2383,3885,3963,666
15/07/2015,00:00,6904,5074,6809,2628,,7547,2211,2962,3839,,3216,3417,4287,6096,4061,760,,3432,4467,4518,820
16/07/2015,00:00,6870,5003,6658,2452,,7181,2274,2973,3703,,3315,3622,4165,6232,3758,561,,3256,4423,4212,736
17/07/2015,00:00,5189,4085,5365,1880,,5944,1794,2405,3024,,2515,2607,3552,4919,3124,387,,2606,3778,2731,569
18/07/2015,00:00,3017,2559,2938,901,,3306,837,1005,1367,,1323,1579,2403,3440,1630,176,,1686,2443,1029,219
19/07/2015,00:00,2478,2298,2605,878,,2617,865,887,1228,,1457,1651,2309,3067,1112,136,,1273,2332,932,181
20/07/2015,00:00,5807,4628,6215,2315,,6569,2179,2857,3595,,3288,3475,3940,5877,3607,595,,2711,3988,3577,788
21/07/2015,00:00,3114,2222,3195,1247,,3897,1211,1276,2052,,1044,1724,2183,2554,1721,294,,1637,2428,2294,452
22/07/2015,00:00,5396,4174,5628,2296,,6700,9999,2562,3360,,2929,2990,3849,5288,3301,777,,2575,3928,4088,723
23/07/2015,00:00,5414,4226,5476,2187,,6324,1872,2537,3192,,2408,2631,3750,5542,3214,400,,2671,3900,3512,648
24/07/2015,00:00,4051,3306,4378,1422,,4898,1391,1659,2359,,1536,1902,3077,4174,2180,327,,2103,3382,2712,454
25/07/2015,00:00,4193,3666,4524,1225,,3917,1411,1933,1823,,3909,3034,3180,4648,2568,307,,1939,3053,1680,314
26/07/2015,00:00,3136,3236,3642,1133,,2963,1132,1368,1555,,2509,2241,3093,3909,1675,205,,1619,2722,1478,247
27/07/2015,00:00,4756,3730,4858,1887,,5210,1742,2325,2951,,2584,2705,2965,4539,2998,485,,2144,3654,3555,699
28/07/2015,00:00,5495,4139,5797,2091,,6000,1942,2581,3227,,2895,3083,3422,4503,3279,634,,2345,4087,4012,726
29/07/2015,00:00,5555,4294,5982,1935,,5868,1926,2454,3143,,3157,3245,3510,5419,3544,508,,2386,3751,3959,700
30/07/2015,00:00,4635,3389,4759,1652,,5276,1508,1996,2820,,1543,2122,2986,4691,2547,529,,2240,3343,3480,684
31/07/2015,00:00,5486,4165,5625,1746,,5846,1746,2432,2999,,3309,4116,3718,5215,3281,581,,2511,3763,3555,715
01/08/2015,00:00,3809,3268,4043,1084,,3691,1175,1563,1539,,3671,5832,2968,4850,2124,290,,1707,2517,1615,286
02/08/2015,00:00,4176,3879,4438,1389,,3783,1392,1916,1944,,4425,6014,3718,4663,2222,281,,1706,2709,1758,267
03/08/2015,00:00,3842,2866,3997,1544,,4836,1392,1658,2475,,1386,2240,2828,3771,2185,428,,2368,2702,3074,509
04/08/2015,00:00,5689,4141,5688,2147,,6384,1995,2445,3241,,2591,2915,3959,4984,3176,677,,3198,3324,3950,545
05/08/2015,00:00,4806,3719,5100,1981,,5645,1763,2373,2959,,1983,2419,3701,5540,3029,613,,2841,3098,3663,634
06/08/2015,00:00,5722,3876,5456,2118,,5950,1884,2366,3027,,2259,2761,3762,4978,3113,674,,2938,3055,3953,611
07/08/2015,00:00,4846,3782,4985,1680,,5302,1593,2315,2770,,2529,2734,3511,4869,2927,578,,2496,2846,3371,651
08/08/2015,00:00,2593,3730,4416,1233,,3789,1368,1869,1713,,3534,3170,3418,4525,2274,280,,2050,2601,1639,328
09/08/2015,00:00,3508,3324,3983,1126,,3507,1210,1603,1743,,3070,3131,3629,4358,1981,282,,1768,2355,1692,316
10/08/2015,00:00,5191,4023,5373,1949,,5767,1915,2455,3081,,2857,3606,3664,4642,3211,653,,2520,3104,3660,665
11/08/2015,00:00,1557,1322,1753,685,,2033,555,579,1125,,368,759,1393,1745,801,191,,953,1360,1287,151
12/08/2015,00:00,3914,2895,4188,1682,,4871,1465,1426,2599,,1299,1964,3098,3848,1921,556,,2135,2644,3188,407
13/08/2015,00:00,5297,4147,5336,2120,,5963,1741,2213,3242,,2386,2868,3954,5174,2877,586,,2629,3040,3825,626
14/08/2015,00:00,3154,2318,3246,1225,,3504,1038,1245,1968,,961,1902,2371,3227,1783,400,,1661,2132,2180,321
15/08/2015,00:00,3586,3551,3909,1080,,3325,1237,1513,1495,,2655,2791,2915,4132,1920,275,,1677,2258,1533,265
16/08/2015,00:00,3975,3468,4149,1142,,3335,1301,1626,1631,,3179,3169,3511,4320,1911,279,,1519,2442,1469,325
17/08/2015,00:00,4999,4056,5578,2002,,5588,1838,2340,3029,,2449,3132,3578,4665,3011,720,,2075,3210,3300,643
18/08/2015,00:00,5413,4209,5861,2036,,5887,1872,2292,3141,,2450,3100,3661,4727,2978,653,,2235,3203,3898,673
19/08/2015,00:00,5339,4136,5716,2078,,5794,1820,2328,3079,,2321,3012,3826,4720,2979,683,,2177,3306,3782,570
20/08/2015,00:00,5189,4198,5673,1978,,5782,1774,2247,3188,,2091,2726,3682,4833,2821,555,,2317,3340,3835,561
21/08/2015,00:00,4857,3840,5103,1809,,917,1705,1938,2834,,1930,2405,3605,4572,2534,579,,2327,3066,3265,474
